,TransactionTrend,Account,FamilyMembers,Gender,long,Name,AvgMonthlySpending,merchantId,CreditScore,merchantType,Age,lat,amount,BalanceAmount,PreviousDaySpending,accountType,CreditLimit,accountNumber,transactionId,IncomeCategory,name,NrOfDebCards,Tel,CrmSegment,ShortTermCredit,NrOfCredCards,feature_1
561,Stab,230011019,2,N,19.0513418,Hajdu Jázmin,314563,1032,XS,egészség,30,47.510766,20818,718239,260613,MAESTRO,870000,6509 7565 8598 2707,5382376247,S,Életerő mozgás,2,3680523764,CreditAct,N,1,0.0
741,Stab,230011019,2,N,19.0513418,Hajdu Jázmin,314563,1032,XS,egészség,30,47.510766,1979,718239,260613,AMEX,870000,1650 5196 7058 5851,5382376427,S,Életerő mozgás,2,3680523764,CreditAct,N,1,0.0
54,Inact,230010950,2,N,19.0513418,Borbély Maja,977628,1032,NO,egészség,70,47.510766,9667,504388,220671,MASTERCARD,1050000,9988 9565 3534 1521,5382375740,L,Életerő mozgás,3,3680111000,NoTrans,N,1,0.0
1846,DecDec,230011044,4,N,19.0513418,Mészáros Emese,555308,1032,M,egészség,68,47.510766,17787,150293,112115,JCB,290000,5332 3689 0066 4162,5382377532,M,Életerő mozgás,3,3680272436,CreditAct,Y,2,0.0
2177,DecDec,230011044,4,N,19.0513418,Mészáros Emese,555308,1032,M,egészség,68,47.510766,11997,150293,112115,JCB,290000,5332 3689 0066 4162,5382377863,M,Életerő mozgás,3,3680272436,CreditAct,Y,2,0.0
1860,Stab,230010885,2,N,19.0513418,Novák Rebeka,277083,1032,NO,egészség,64,47.510766,38751,453403,308805,MAESTRO,1110000,6925 2816 5475 1682,5382377546,M,Életerő mozgás,2,3680693086,Young,N,1,0.0
937,DecDec,230010796,5,F,19.0513418,Fodor Márton,703147,1032,NO,egészség,57,47.510766,12194,656261,288466,MASTERCARD,850000,5268 6716 5701 9218,5382376623,XXL,Életerő mozgás,3,3680280760,Young,N,1,0.0
954,IncInc,230010963,2,F,19.0513418,Székely Tibor,815869,1032,NO,egészség,28,47.510766,23967,560549,37581,VISA,940000,5340 0606 1509 8320,5382376640,XS,Életerő mozgás,1,3680698942,CreditAct,Y,1,0.0
675,Stab,230011015,4,N,19.0513418,Horváth Szonja,409079,1032,S,egészség,19,47.510766,8052,566890,82674,DINERS,240000,7890 9419 3959 6201,5382376361,M,Életerő mozgás,3,3680532393,CreditAct,N,0,0.0
1275,Stab,230010815,2,N,19.0513418,Mészáros Zoé,494786,1032,XS,egészség,21,47.510766,27051,228166,282680,AMEX,1060000,4820 5177 1365 3539,5382376961,XS,Életerő mozgás,2,3680593007,Pension,Y,1,0.0
2148,DecDec,230010901,4,N,19.0513418,Lukács Kinga,965850,1032,XS,egészség,50,47.510766,5457,701002,108633,AMEX,410000,5477 7710 3241 5258,5382377834,XL,Életerő mozgás,3,3680421859,Young,N,0,0.0
618,DecDec,230010901,4,N,19.0513418,Lukács Kinga,965850,1032,XS,egészség,50,47.510766,9776,701002,108633,JCB,410000,5919 8087 0381 2885,5382376304,XL,Életerő mozgás,3,3680421859,Young,N,0,0.0
1678,Inc,230010974,1,N,19.0513418,Bognár Flóra,147205,1032,NO,egészség,32,47.510766,21039,480606,193130,MASTERCARD,440000,3536 2474 5787 0754,5382377364,XL,Életerő mozgás,2,3680319758,CreditAct,Y,0,0.0
1282,Inact,230010949,1,N,19.0513418,Sipos Panna,421966,1032,XS,egészség,34,47.510766,31377,513702,181966,MAESTRO,1030000,0461 3098 2061 6740,5382376968,L,Életerő mozgás,2,3680383491,CreditAct,N,0,0.0
2142,Stab,230011101,5,F,19.0513418,Farkas István,942771,1032,XL,egészség,51,47.510766,22775,271457,208799,MAESTRO,1140000,5597 2555 0392 6973,5382377828,M,Életerő mozgás,1,3680241681,TransCredit,N,2,0.0
