Account,Age,Gender,Name,Tel
230010128,66,N,Pál Lilien,3680340641
230010129,29,N,Szücs Virág,3680433125
230010130,43,F,Balla Alex,3680574300
230010131,58,F,Szőke Kende,3680250440
230010132,61,N,Fodor Borbála,3680820615
230010133,25,F,Nagy Tamás,3680497682
230010134,72,F,Szilágyi Richárd,3680710885
230010135,48,F,Nemes Ábel,3680394203
230010136,48,N,Tamás Blanka,3680523694
230010137,31,F,Vincze Adrián,3680719839
230010138,22,N,Mezei Kamilla,3680184726
230010139,25,F,Simon Patrik,3680618840
230010140,73,N,Papp Nóra,3680432683
230010141,47,F,Balogh Áron,3680745414
230010142,36,N,Pap Réka,3680229323
230010143,55,F,Boros Botond,3680424315
230010144,46,F,Kelemen Kristóf,3680794407
230010145,46,F,Szekeres Imre,3680279867
230010146,72,N,Somogyi Noémi,3680261780
230010147,66,F,Borbély Bence,3680294866
230010148,30,F,Bodnár Csaba,3680309959
230010149,22,F,Hajdu Norbert,3680389789
230010150,43,F,Biró Roland,3680241282
230010151,64,F,Varga Ármin,3680484203
230010152,43,F,Balla Hunor,3680728061
230010153,73,F,Balázs Kornél,3680287742
230010154,21,N,Fazekas Mira,3680818009
230010155,67,F,Soós Csongor,3680532472
230010156,18,F,Rácz Ábel,3680339307
230010157,41,N,Biró Kata,3680370294
230010158,61,N,Varga Laura,3680826401
230010159,58,F,Pintér Csongor,3680225145
230010160,32,F,Lukács Alex,3680229474
230010161,35,F,Németh Zsolt,3680210075
230010162,37,F,Fodor Kornél,3680676215
230010163,64,F,Deák Erik,3680165284
230010164,45,F,Bogdán Levente,3680824160
230010165,30,N,Kiss Melissza,3680886111
230010166,31,F,Balla Gergő,3680447574
230010167,37,F,Fábián Ádám,3680500939
230010168,23,N,Pataki Emília,3680654567
230010169,76,F,Fazekas Péter,3680341588
230010170,26,F,Nagy István,3680398571
230010171,21,F,Varga Viktor,3680364111
230010172,34,N,Fülöp Luca,3680595787
230010173,61,F,Balázs Róbert,3680521846
230010174,22,N,Szücs Lara,3680109735
230010175,42,F,Bognár Patrik,3680811718
230010176,62,N,Bogdán Kinga,3680583160
230010177,70,N,Nagy Virág,3680820084
230010178,46,N,Pap Fruzsina,3680651724
230010179,47,F,Szőke Kristóf,3680561040
230010180,37,F,Horváth Róbert,3680475693
230010181,42,F,Sándor Benedek,3680883989
230010182,62,F,Biró Máté,3680877657
230010183,20,N,Szücs Lili,3680688925
230010184,37,N,Fábián Mira,3680184230
230010185,32,N,Csonka Szonja,3680261517
230010186,24,F,Szilágyi Csongor,3680273067
230010187,50,N,Mészáros Eszter,3680702176
230010188,38,F,Pataki Ferenc,3680709562
230010189,33,N,Szilágyi Mira,3680773087
230010190,75,F,Molnár Nimród,3680438001
230010191,28,N,Tóth Dóra,3680119331
230010192,42,F,Lakatos Csongor,3680547958
230010193,30,F,Jakab Erik,3680393122
230010194,21,N,Simon Kincső,3680887312
230010195,37,F,Fülöp Gábor,3680345970
230010196,63,F,Orosz Nimród,3680143936
230010197,43,F,Orosz Botond,3680610586
230010198,21,F,Fodor Vince,3680531740
230010199,40,N,Papp Dorina,3680698201
230010200,49,N,Barta Adél,3680883764
230010201,44,F,Soós Dániel,3680129857
230010202,46,N,Fazekas Lilien,3680132893
230010203,72,F,Szalai Bence,3680180300
230010204,47,F,Fábián Ákos,3680443366
230010205,24,N,Farkas Zsófia,3680367008
230010206,21,F,Tamás Kornél,3680230464
230010207,37,F,Varga Rikárdó,3680330844
230010208,49,F,Mészáros Marcell,3680603902
230010209,26,N,Barta Kincső,3680574452
230010210,43,N,Kocsis Kata,3680557097
230010211,49,N,Nagy Mira,3680288472
230010212,34,N,Szilágyi Adél,3680784427
230010213,73,F,Varga Roland,3680772856
230010214,68,F,Király Sándor,3680400977
230010215,73,F,Bakos Kende,3680652803
230010216,43,F,Balog Tibor,3680475793
230010217,43,N,Sárközi Flóra,3680277849
230010218,64,F,Deák György,3680680526
230010219,73,N,Fodor Kata,3680854751
230010220,43,N,Novák Abigél,3680533274
230010221,76,F,Kozma Balázs,3680754053
230010222,76,F,Boros Péter,3680586692
230010223,50,F,Fekete Gergely,3680781526
230010224,55,F,Bognár Bence,3680852704
230010225,57,F,Péter Gergely,3680581487
230010226,42,F,Mészáros Zsolt,3680214738
230010227,48,F,Lakatos András,3680873598
230010228,48,N,Barta Noémi,3680437785
230010229,35,F,Deák Gyula,3680653886
230010230,35,F,Farkas Zsombor,3680611931
230010231,29,N,Novák Fanni,3680208782
230010232,44,N,Farkas Ramóna,3680287378
230010233,49,F,Fehér Csongor,3680564289
230010234,24,N,Sárközi Fanni,3680100079
230010235,47,F,Barta József,3680869310
230010236,68,F,Halász Rikárdó,3680767091
230010237,48,F,Bognár Richárd,3680200824
230010238,47,F,Pataki Márk,3680711492
230010239,20,N,Fekete Eszter,3680505414
230010240,56,F,Tóth Balázs,3680449541
230010241,36,F,Virág Rikárdó,3680771754
230010242,42,N,Somogyi Adrienn,3680879315
230010243,34,F,Lakatos Tibor,3680227770
230010244,52,F,Tamás Nándor,3680319244
230010245,44,F,Oláh Noel,3680130663
230010246,75,N,Halász Lara,3680444649
230010247,41,N,Kocsis Maja,3680263080
230010248,76,F,Kis Csanád,3680358710
230010249,50,N,Kiss Dorina,3680646541
230010250,63,F,Kelemen Ármin,3680333095
230010251,28,N,Kelemen Fruzsina,3680496750
230010252,26,F,Bakos Kende,3680350049
230010253,46,F,Pap Dominik,3680871386
230010254,59,F,Pap Kornél,3680866569
230010255,75,N,Veres Kata,3680722260
230010256,31,N,Fábián Blanka,3680186219
230010257,66,F,Székely Kevin,3680415861
230010258,60,F,Pap Márton,3680138398
230010259,43,F,László Viktor,3680126318
230010260,46,N,Balla Noémi,3680792470
230010261,70,F,Jakab Kornél,3680220448
230010262,50,N,Biró Vivien,3680123142
230010263,76,N,Jónás Dorottya,3680319582
230010264,40,N,Simon Janka,3680135386
230010265,60,N,Takács Amanda,3680494827
230010266,48,N,Orosz Fanni,3680555665
230010267,23,F,Váradi Rikárdó,3680276484
230010268,26,F,Márton Áron,3680757324
230010269,51,F,Pál Ákos,3680748132
230010270,25,N,Dudás Bianka,3680798897
230010271,56,F,Deák Gergő,3680459789
230010272,18,N,Deák Bianka,3680542204
230010273,67,F,Balla Balázs,3680883860
230010274,19,F,Takács Benett,3680493395
230010275,71,N,László Dorottya,3680501455
230010276,75,N,Kocsis Abigél,3680427959
230010277,38,F,Bognár Zalán,3680650765
230010278,55,F,Fazekas Gergely,3680459358
230010279,20,N,Boros Eszter,3680361464
230010280,20,N,Szabó Zoé,3680653063
230010281,60,F,Kovács Áron,3680574121
230010282,40,N,Szőke Leila,3680243889
230010283,47,F,Magyar Benedek,3680209912
230010284,45,F,Kovács Dávid,3680656625
230010285,58,N,Fodor Kitti,3680828429
230010286,33,F,Tamás Dávid,3680145268
230010287,77,N,Fülöp Lilla,3680527892
230010288,24,F,Kerekes Norbert,3680249289
230010289,36,N,Simon Panna,3680567277
230010290,64,N,Fekete Réka,3680525654
230010291,30,N,Bakos Kata,3680870392
230010292,68,N,Kozma Emese,3680802005
230010293,56,N,Lukács Leila,3680135902
230010294,77,N,Gáspár Anna,3680738389
230010295,46,F,Tóth Bálint,3680274387
230010296,76,F,Fazekas Rikárdó,3680723874
230010297,29,N,Kis Melissza,3680174103
230010298,68,N,Katona Amanda,3680580598
230010299,55,F,Szalai Tamás,3680504520
