"idx";"accountNumber";"accountType";"merchantId";"merchantType";"transactionId";"amount";"currency";"isCardPresent";"transactionTimeStamp";"feature_1"
"926";"2617 7925 4678 0917";"DINERS";"1022";"ruházat";"5382370585";"12677";"HUF";"True";"1522570975.0";"0"
"906";"8292 6518 2914 5051";"MASTERCARD";"1050";"üzemanyag";"5382370565";"18994";"HUF";"True";"1522571022.0";"0"
"37";"6695 7282 5827 8173";"VISA";"1072";"könyv";"5382369696";"4519";"HUF";"True";"1522571029.0";"0"
"628";"5162 6005 3669 5957";"VISA";"1082";"utazás";"5382370287";"301287";"HUF";"True";"1522571080.0";"1"
"1953";"8006 4228 9463 1621";"MASTERCARD";"1031";"egészség";"5382371612";"17175";"HUF";"True";"1522571124.0";"0"
"1486";"7298 5617 2208 3140";"VISA";"1082";"utazás";"5382371145";"269552";"HUF";"True";"1522571183.0";"0"
"507";"5915 1931 7558 8139";"JCB";"1041";"elektronikai";"5382370166";"179716";"HUF";"True";"1522571187.0";"0"
"1616";"2304 9925 6536 1839";"AMEX";"1022";"ruházat";"5382371275";"14149";"HUF";"True";"1522571262.0";"0"
"927";"2617 7925 4678 0917";"DINERS";"1002";"élelmiszer";"5382370586";"18524";"HUF";"True";"1522571275.0";"0"
"1868";"5314 3191 0690 2416";"DINERS";"1042";"elektronikai";"5382371527";"215165";"HUF";"True";"1522571280.0";"0"
"907";"8292 6518 2914 5051";"MASTERCARD";"1080";"utazás";"5382370566";"188273";"HUF";"True";"1522571322.0";"1"
"38";"6695 7282 5827 8173";"VISA";"1001";"élelmiszer";"5382369697";"667";"HUF";"True";"1522571329.0";"0"
"629";"5162 6005 3669 5957";"VISA";"1001";"élelmiszer";"5382370288";"9785";"HUF";"True";"1522571380.0";"0"
"1954";"8006 4228 9463 1621";"MASTERCARD";"1061";"szórakozás";"5382371613";"3280";"HUF";"True";"1522571424.0";"0"
"1487";"7298 5617 2208 3140";"VISA";"1010";"étterem";"5382371146";"9110";"HUF";"True";"1522571483.0";"0"
"508";"5915 1931 7558 8139";"JCB";"1072";"könyv";"5382370167";"2140";"HUF";"True";"1522571487.0";"1"
"2114";"3910 8284 3239 2785";"VISA";"1002";"élelmiszer";"5382371773";"7675";"HUF";"True";"1522571517.0";"0"
"1617";"2304 9925 6536 1839";"AMEX";"1021";"ruházat";"5382371276";"11395";"HUF";"True";"1522571562.0";"0"
"928";"2617 7925 4678 0917";"DINERS";"1071";"könyv";"5382370587";"4657";"HUF";"True";"1522571575.0";"0"
"1869";"5314 3191 0690 2416";"DINERS";"1011";"étterem";"5382371528";"4315";"HUF";"True";"1522571580.0";"1"
"908";"8292 6518 2914 5051";"MASTERCARD";"1061";"szórakozás";"5382370567";"3186";"HUF";"True";"1522571622.0";"0"
"1955";"8006 4228 9463 1621";"MASTERCARD";"1040";"elektronikai";"5382371614";"80613";"HUF";"True";"1522571724.0";"1"
"1881";"8959 0510 0443 4051";"AMEX";"1020";"ruházat";"5382371540";"21368";"HUF";"True";"1522571738.0";"0"
"1488";"7298 5617 2208 3140";"VISA";"1070";"könyv";"5382371147";"6285";"HUF";"True";"1522571783.0";"0"
"509";"5915 1931 7558 8139";"JCB";"1032";"egészség";"5382370168";"18205";"HUF";"True";"1522571787.0";"0"
"2115";"3910 8284 3239 2785";"VISA";"1060";"szórakozás";"5382371774";"3421";"HUF";"True";"1522571817.0";"0"
"1618";"2304 9925 6536 1839";"AMEX";"1011";"étterem";"5382371277";"6965";"HUF";"True";"1522571862.0";"1"
"929";"2617 7925 4678 0917";"DINERS";"1022";"ruházat";"5382370588";"17891";"HUF";"True";"1522571875.0";"0"
"1870";"5314 3191 0690 2416";"DINERS";"1060";"szórakozás";"5382371529";"6067";"HUF";"True";"1522571880.0";"0"
"909";"8292 6518 2914 5051";"MASTERCARD";"1061";"szórakozás";"5382370568";"7301";"HUF";"True";"1522571922.0";"0"
"1956";"8006 4228 9463 1621";"MASTERCARD";"1042";"elektronikai";"5382371615";"193324";"HUF";"True";"1522572024.0";"0"
"1882";"8959 0510 0443 4051";"AMEX";"1061";"szórakozás";"5382371541";"7670";"HUF";"True";"1522572038.0";"0"
"1489";"7298 5617 2208 3140";"VISA";"1002";"élelmiszer";"5382371148";"31373";"HUF";"True";"1522572083.0";"0"
"510";"5915 1931 7558 8139";"JCB";"1032";"egészség";"5382370169";"2931";"HUF";"True";"1522572087.0";"0"
"2116";"3910 8284 3239 2785";"VISA";"1081";"utazás";"5382371775";"340471";"HUF";"True";"1522572117.0";"0"
"1619";"2304 9925 6536 1839";"AMEX";"1042";"elektronikai";"5382371278";"14970";"HUF";"True";"1522572162.0";"0"
"930";"2617 7925 4678 0917";"DINERS";"1072";"könyv";"5382370589";"2016";"HUF";"True";"1522572175.0";"0"
"910";"8292 6518 2914 5051";"MASTERCARD";"1001";"élelmiszer";"5382370569";"29693";"HUF";"True";"1522572222.0";"0"
"1957";"8006 4228 9463 1621";"MASTERCARD";"1010";"étterem";"5382371616";"2035";"HUF";"True";"1522572324.0";"0"
"1883";"8959 0510 0443 4051";"AMEX";"1010";"étterem";"5382371542";"2837";"HUF";"True";"1522572338.0";"0"
"1490";"7298 5617 2208 3140";"VISA";"1041";"elektronikai";"5382371149";"144533";"HUF";"True";"1522572383.0";"0"
"511";"5915 1931 7558 8139";"JCB";"1051";"üzemanyag";"5382370170";"7383";"HUF";"True";"1522572387.0";"0"
"595";"1211 0189 2826 2372";"VISA";"1070";"könyv";"5382370254";"6688";"HUF";"True";"1522572393.0";"0"
"2117";"3910 8284 3239 2785";"VISA";"1061";"szórakozás";"5382371776";"3685";"HUF";"True";"1522572417.0";"0"
"1943";"4008 1610 3513 9334";"MASTERCARD";"1060";"szórakozás";"5382371602";"6592";"HUF";"True";"1522572430.0";"0"
"931";"2617 7925 4678 0917";"DINERS";"1032";"egészség";"5382370590";"20742";"HUF";"True";"1522572475.0";"0"
"911";"8292 6518 2914 5051";"MASTERCARD";"1061";"szórakozás";"5382370570";"3671";"HUF";"True";"1522572522.0";"0"
"190";"4953 3424 6314 3666";"MAESTRO";"1040";"elektronikai";"5382369849";"205395";"HUF";"True";"1522572544.0";"0"
"1884";"8959 0510 0443 4051";"AMEX";"1080";"utazás";"5382371543";"255203";"HUF";"True";"1522572638.0";"0"
"1491";"7298 5617 2208 3140";"VISA";"1070";"könyv";"5382371150";"2833";"HUF";"True";"1522572683.0";"0"
"512";"5915 1931 7558 8139";"JCB";"1072";"könyv";"5382370171";"5749";"HUF";"True";"1522572687.0";"0"
"1944";"4008 1610 3513 9334";"MASTERCARD";"1060";"szórakozás";"5382371603";"6017";"HUF";"True";"1522572730.0";"0"
"932";"2617 7925 4678 0917";"DINERS";"1060";"szórakozás";"5382370591";"3027";"HUF";"True";"1522572775.0";"0"
"912";"8292 6518 2914 5051";"MASTERCARD";"1040";"elektronikai";"5382370571";"189192";"HUF";"True";"1522572822.0";"0"
"191";"4953 3424 6314 3666";"MAESTRO";"1030";"egészség";"5382369850";"20066";"HUF";"True";"1522572844.0";"1"
"1885";"8959 0510 0443 4051";"AMEX";"1002";"élelmiszer";"5382371544";"37127";"HUF";"True";"1522572938.0";"0"
"886";"6920 6295 8458 7420";"VISA";"1050";"üzemanyag";"5382370545";"7028";"HUF";"True";"1522572956.0";"0"
"1492";"7298 5617 2208 3140";"VISA";"1061";"szórakozás";"5382371151";"3686";"HUF";"True";"1522572983.0";"0"
"513";"5915 1931 7558 8139";"JCB";"1012";"étterem";"5382370172";"6377";"HUF";"True";"1522572987.0";"0"
"933";"2617 7925 4678 0917";"DINERS";"1022";"ruházat";"5382370592";"15620";"HUF";"True";"1522573075.0";"0"
"192";"4953 3424 6314 3666";"MAESTRO";"1012";"étterem";"5382369851";"4551";"HUF";"True";"1522573144.0";"0"
"1886";"8959 0510 0443 4051";"AMEX";"1082";"utazás";"5382371545";"270867";"HUF";"True";"1522573238.0";"0"
"887";"6920 6295 8458 7420";"VISA";"1030";"egészség";"5382370546";"27849";"HUF";"True";"1522573256.0";"0"
"1493";"7298 5617 2208 3140";"VISA";"1082";"utazás";"5382371152";"238740";"HUF";"True";"1522573283.0";"0"
"934";"2617 7925 4678 0917";"DINERS";"1062";"szórakozás";"5382370593";"3602";"HUF";"True";"1522573375.0";"0"
"2413";"0348 2487 2541 7066";"VISA";"1002";"élelmiszer";"5382372072";"25264";"HUF";"True";"1522573517.0";"0"
"1542";"4672 7002 4302 9352";"MASTERCARD";"1060";"szórakozás";"5382371201";"1834";"HUF";"True";"1522573534.0";"0"
"1887";"8959 0510 0443 4051";"AMEX";"1012";"étterem";"5382371546";"6277";"HUF";"True";"1522573538.0";"0"
"888";"6920 6295 8458 7420";"VISA";"1002";"élelmiszer";"5382370547";"36098";"HUF";"True";"1522573556.0";"0"
"2017";"3900 1816 6776 8948";"AMEX";"1030";"egészség";"5382371676";"32633";"HUF";"True";"1522573599.0";"0"
"889";"0896 9046 5665 4176";"DINERS";"1080";"utazás";"5382370548";"293806";"HUF";"True";"1522573608.0";"0"
"935";"2617 7925 4678 0917";"DINERS";"1040";"elektronikai";"5382370594";"131357";"HUF";"True";"1522573675.0";"0"
"776";"0950 9243 6487 0559";"MASTERCARD";"1010";"étterem";"5382370435";"8017";"HUF";"True";"1522573675.0";"0"
"1397";"6108 8605 1008 4481";"MAESTRO";"1061";"szórakozás";"5382371056";"3928";"HUF";"True";"1522573728.0";"0"
"1812";"7686 5456 4986 5845";"MAESTRO";"1012";"étterem";"5382371471";"8642";"HUF";"True";"1522573741.0";"0"
"2096";"5772 5798 1770 6545";"MASTERCARD";"1052";"üzemanyag";"5382371755";"11396";"HUF";"True";"1522573783.0";"0"
"2018";"3900 1816 6776 8948";"AMEX";"1030";"egészség";"5382371677";"30436";"HUF";"True";"1522573899.0";"0"
"890";"0896 9046 5665 4176";"DINERS";"1020";"ruházat";"5382370549";"17347";"HUF";"True";"1522573908.0";"0"
"2043";"8947 3822 7727 6723";"AMEX";"1041";"elektronikai";"5382371702";"11265";"HUF";"True";"1522573910.0";"0"
"1398";"6108 8605 1008 4481";"MAESTRO";"1003";"élelmiszer";"5382371057";"3692";"HUF";"True";"1522574028.0";"0"
"1903";"5230 8846 0494 0888";"DINERS";"1021";"ruházat";"5382371562";"13792";"HUF";"True";"1522574033.0";"0"
"1813";"7686 5456 4986 5845";"MAESTRO";"1080";"utazás";"5382371472";"180495";"HUF";"True";"1522574041.0";"0"
"2097";"5772 5798 1770 6545";"MASTERCARD";"1052";"üzemanyag";"5382371756";"9955";"HUF";"True";"1522574083.0";"0"
"2019";"3900 1816 6776 8948";"AMEX";"1012";"étterem";"5382371678";"5251";"HUF";"True";"1522574199.0";"0"
"891";"0896 9046 5665 4176";"DINERS";"1010";"étterem";"5382370550";"5681";"HUF";"True";"1522574208.0";"1"
"2044";"8947 3822 7727 6723";"AMEX";"1032";"egészség";"5382371703";"30597";"HUF";"True";"1522574210.0";"0"
"1242";"2580 8261 6775 6122";"MAESTRO";"1072";"könyv";"5382370901";"2269";"HUF";"True";"1522574243.0";"0"
"1399";"6108 8605 1008 4481";"MAESTRO";"1081";"utazás";"5382371058";"90684";"HUF";"True";"1522574328.0";"0"
"1904";"5230 8846 0494 0888";"DINERS";"1051";"üzemanyag";"5382371563";"18140";"HUF";"True";"1522574333.0";"0"
"1814";"7686 5456 4986 5845";"MAESTRO";"1061";"szórakozás";"5382371473";"3186";"HUF";"True";"1522574341.0";"0"
"2098";"5772 5798 1770 6545";"MASTERCARD";"1062";"szórakozás";"5382371757";"6634";"HUF";"True";"1522574383.0";"0"
"2020";"3900 1816 6776 8948";"AMEX";"1041";"elektronikai";"5382371679";"134923";"HUF";"True";"1522574499.0";"0"
"892";"0896 9046 5665 4176";"DINERS";"1002";"élelmiszer";"5382370551";"2226";"HUF";"True";"1522574508.0";"0"
"2045";"8947 3822 7727 6723";"AMEX";"1050";"üzemanyag";"5382371704";"9267";"HUF";"True";"1522574510.0";"0"
"985";"3240 8915 7598 0678";"DINERS";"1020";"ruházat";"5382370644";"25953";"HUF";"True";"1522574536.0";"0"
"1243";"2580 8261 6775 6122";"MAESTRO";"1051";"üzemanyag";"5382370902";"6455";"HUF";"True";"1522574543.0";"0"
"1400";"6108 8605 1008 4481";"MAESTRO";"1002";"élelmiszer";"5382371059";"22064";"HUF";"True";"1522574628.0";"0"
"1905";"5230 8846 0494 0888";"DINERS";"1032";"egészség";"5382371564";"15113";"HUF";"True";"1522574633.0";"0"
"828";"1660 0027 1934 6546";"VISA";"1081";"utazás";"5382370487";"297420";"HUF";"True";"1522574641.0";"0"
"2099";"5772 5798 1770 6545";"MASTERCARD";"1011";"étterem";"5382371758";"4180";"HUF";"True";"1522574683.0";"0"
"2021";"3900 1816 6776 8948";"AMEX";"1032";"egészség";"5382371680";"7312";"HUF";"True";"1522574799.0";"0"
"893";"0896 9046 5665 4176";"DINERS";"1022";"ruházat";"5382370552";"26324";"HUF";"True";"1522574808.0";"0"
"2046";"8947 3822 7727 6723";"AMEX";"1072";"könyv";"5382371705";"5380";"HUF";"True";"1522574810.0";"0"
"986";"3240 8915 7598 0678";"DINERS";"1002";"élelmiszer";"5382370645";"27273";"HUF";"True";"1522574836.0";"0"
"1244";"2580 8261 6775 6122";"MAESTRO";"1001";"élelmiszer";"5382370903";"13179";"HUF";"True";"1522574843.0";"0"
"1906";"5230 8846 0494 0888";"DINERS";"1022";"ruházat";"5382371565";"26098";"HUF";"True";"1522574933.0";"0"
"2100";"5772 5798 1770 6545";"MASTERCARD";"1070";"könyv";"5382371759";"2489";"HUF";"True";"1522574983.0";"0"
"1431";"7533 8234 7735 5101";"JCB";"1022";"ruházat";"5382371090";"8317";"HUF";"True";"1522575034.0";"0"
"2022";"3900 1816 6776 8948";"AMEX";"1010";"étterem";"5382371681";"7319";"HUF";"True";"1522575099.0";"0"
"1245";"2580 8261 6775 6122";"MAESTRO";"1001";"élelmiszer";"5382370904";"29343";"HUF";"True";"1522575143.0";"0"
"1907";"5230 8846 0494 0888";"DINERS";"1001";"élelmiszer";"5382371566";"33254";"HUF";"True";"1522575233.0";"0"
"514";"5532 9757 5529 9192";"JCB";"1052";"üzemanyag";"5382370173";"8699";"HUF";"True";"1522575256.0";"0"
"1157";"2179 8321 9306 2572";"DINERS";"1040";"elektronikai";"5382370816";"78286";"HUF";"True";"1522575277.0";"0"
"568";"0662 1632 6351 4585";"MAESTRO";"1051";"üzemanyag";"5382370227";"19207";"HUF";"True";"1522575332.0";"0"
"1432";"7533 8234 7735 5101";"JCB";"1011";"étterem";"5382371091";"6575";"HUF";"True";"1522575334.0";"0"
"1395";"8449 6106 9011 9928";"AMEX";"1071";"könyv";"5382371054";"4661";"HUF";"True";"1522575346.0";"0"
"1246";"2580 8261 6775 6122";"MAESTRO";"1042";"elektronikai";"5382370905";"55971";"HUF";"True";"1522575443.0";"0"
"324";"8432 7712 5264 1024";"MASTERCARD";"1010";"étterem";"5382369983";"8690";"HUF";"True";"1522575501.0";"0"
"989";"1144 0906 3718 9331";"AMEX";"1012";"étterem";"5382370648";"7085";"HUF";"True";"1522575550.0";"0"
"515";"5532 9757 5529 9192";"JCB";"1021";"ruházat";"5382370174";"24008";"HUF";"True";"1522575556.0";"0"
"1158";"2179 8321 9306 2572";"DINERS";"1041";"elektronikai";"5382370817";"11906";"HUF";"True";"1522575577.0";"0"
"569";"0662 1632 6351 4585";"MAESTRO";"1072";"könyv";"5382370228";"3522";"HUF";"True";"1522575632.0";"0"
"1247";"2580 8261 6775 6122";"MAESTRO";"1040";"elektronikai";"5382370906";"88310";"HUF";"True";"1522575743.0";"0"
"325";"8432 7712 5264 1024";"MASTERCARD";"1062";"szórakozás";"5382369984";"7009";"HUF";"True";"1522575801.0";"0"
"2109";"8339 1158 7439 2533";"VISA";"1080";"utazás";"5382371768";"56578";"HUF";"True";"1522575829.0";"0"
"990";"1144 0906 3718 9331";"AMEX";"1022";"ruházat";"5382370649";"10962";"HUF";"True";"1522575850.0";"0"
"516";"5532 9757 5529 9192";"JCB";"1022";"ruházat";"5382370175";"11585";"HUF";"True";"1522575856.0";"0"
"1159";"2179 8321 9306 2572";"DINERS";"1080";"utazás";"5382370818";"318869";"HUF";"True";"1522575877.0";"0"
"570";"0662 1632 6351 4585";"MAESTRO";"1041";"elektronikai";"5382370229";"210830";"HUF";"True";"1522575932.0";"0"
"672";"7930 9894 1901 4715";"JCB";"1002";"élelmiszer";"5382370331";"7228";"HUF";"True";"1522576076.0";"0"
"326";"8432 7712 5264 1024";"MASTERCARD";"1020";"ruházat";"5382369985";"21564";"HUF";"True";"1522576101.0";"0"
"1288";"4564 0089 2908 5091";"AMEX";"1030";"egészség";"5382370947";"5883";"HUF";"True";"1522576107.0";"0"
"2110";"8339 1158 7439 2533";"VISA";"1041";"elektronikai";"5382371769";"173164";"HUF";"True";"1522576129.0";"0"
"991";"1144 0906 3718 9331";"AMEX";"1051";"üzemanyag";"5382370650";"10578";"HUF";"True";"1522576150.0";"0"
"517";"5532 9757 5529 9192";"JCB";"1070";"könyv";"5382370176";"2555";"HUF";"True";"1522576156.0";"0"
"1213";"2064 1791 5443 9757";"MAESTRO";"1032";"egészség";"5382370872";"28996";"HUF";"True";"1522576170.0";"0"
"1160";"2179 8321 9306 2572";"DINERS";"1042";"elektronikai";"5382370819";"27563";"HUF";"True";"1522576177.0";"1"
"2188";"4330 6687 6478 5710";"DINERS";"1040";"elektronikai";"5382371847";"31330";"HUF";"True";"1522576213.0";"0"
"571";"0662 1632 6351 4585";"MAESTRO";"1011";"étterem";"5382370230";"4582";"HUF";"True";"1522576232.0";"0"
"673";"7930 9894 1901 4715";"JCB";"1052";"üzemanyag";"5382370332";"8614";"HUF";"True";"1522576376.0";"0"
"327";"8432 7712 5264 1024";"MASTERCARD";"1022";"ruházat";"5382369986";"19881";"HUF";"True";"1522576401.0";"0"
"1289";"4564 0089 2908 5091";"AMEX";"1012";"étterem";"5382370948";"3845";"HUF";"True";"1522576407.0";"0"
"992";"1144 0906 3718 9331";"AMEX";"1070";"könyv";"5382370651";"2683";"HUF";"True";"1522576450.0";"0"
"518";"5532 9757 5529 9192";"JCB";"1031";"egészség";"5382370177";"16987";"HUF";"True";"1522576456.0";"0"
"1214";"2064 1791 5443 9757";"MAESTRO";"1032";"egészség";"5382370873";"5155";"HUF";"True";"1522576470.0";"0"
"1161";"2179 8321 9306 2572";"DINERS";"1042";"elektronikai";"5382370820";"100997";"HUF";"True";"1522576477.0";"0"
"2189";"4330 6687 6478 5710";"DINERS";"1050";"üzemanyag";"5382371848";"18448";"HUF";"True";"1522576513.0";"0"
"572";"0662 1632 6351 4585";"MAESTRO";"1070";"könyv";"5382370231";"4103";"HUF";"True";"1522576532.0";"1"
"447";"0720 2967 0399 8269";"VISA";"1003";"élelmiszer";"5382370106";"17587";"HUF";"True";"1522576626.0";"0"
"2103";"9651 4591 0464 3996";"MAESTRO";"1003";"élelmiszer";"5382371762";"14887";"HUF";"True";"1522576629.0";"0"
"674";"7930 9894 1901 4715";"JCB";"1061";"szórakozás";"5382370333";"4955";"HUF";"True";"1522576676.0";"0"
"328";"8432 7712 5264 1024";"MASTERCARD";"1011";"étterem";"5382369987";"6716";"HUF";"True";"1522576701.0";"1"
"342";"2304 9925 6536 1839";"AMEX";"1022";"ruházat";"5382370001";"5278";"HUF";"True";"1522576731.0";"0"
"993";"1144 0906 3718 9331";"AMEX";"1041";"elektronikai";"5382370652";"38895";"HUF";"True";"1522576750.0";"0"
"1149";"6212 7495 2960 2223";"DINERS";"1071";"könyv";"5382370808";"3244";"HUF";"True";"1522576759.0";"0"
"1269";"9597 2074 6716 1992";"MAESTRO";"1021";"ruházat";"5382370928";"23763";"HUF";"True";"1522576764.0";"0"
"1215";"2064 1791 5443 9757";"MAESTRO";"1010";"étterem";"5382370874";"6972";"HUF";"True";"1522576770.0";"0"
"1162";"2179 8321 9306 2572";"DINERS";"1050";"üzemanyag";"5382370821";"8241";"HUF";"True";"1522576777.0";"0"
"2190";"4330 6687 6478 5710";"DINERS";"1051";"üzemanyag";"5382371849";"11128";"HUF";"True";"1522576813.0";"1"
"573";"0662 1632 6351 4585";"MAESTRO";"1062";"szórakozás";"5382370232";"7801";"HUF";"True";"1522576832.0";"0"
"448";"0720 2967 0399 8269";"VISA";"1052";"üzemanyag";"5382370107";"7790";"HUF";"True";"1522576926.0";"1"
"1426";"1784 3022 6447 6055";"AMEX";"1080";"utazás";"5382371085";"290705";"HUF";"True";"1522576958.0";"0"
"675";"7930 9894 1901 4715";"JCB";"1010";"étterem";"5382370334";"9622";"HUF";"True";"1522576976.0";"0"
"329";"8432 7712 5264 1024";"MASTERCARD";"1032";"egészség";"5382369988";"21888";"HUF";"True";"1522577001.0";"0"
"343";"2304 9925 6536 1839";"AMEX";"1032";"egészség";"5382370002";"15804";"HUF";"True";"1522577031.0";"1"
"994";"1144 0906 3718 9331";"AMEX";"1061";"szórakozás";"5382370653";"2426";"HUF";"True";"1522577050.0";"0"
"1270";"9597 2074 6716 1992";"MAESTRO";"1003";"élelmiszer";"5382370929";"5432";"HUF";"True";"1522577064.0";"0"
"1216";"2064 1791 5443 9757";"MAESTRO";"1001";"élelmiszer";"5382370875";"32804";"HUF";"True";"1522577070.0";"1"
"1163";"2179 8321 9306 2572";"DINERS";"1022";"ruházat";"5382370822";"22634";"HUF";"True";"1522577077.0";"0"
"2191";"4330 6687 6478 5710";"DINERS";"1071";"könyv";"5382371850";"4192";"HUF";"True";"1522577113.0";"0"
"574";"0662 1632 6351 4585";"MAESTRO";"1060";"szórakozás";"5382370233";"7986";"HUF";"True";"1522577132.0";"0"
"449";"0720 2967 0399 8269";"VISA";"1062";"szórakozás";"5382370108";"1912";"HUF";"True";"1522577226.0";"0"
"369";"0142 0271 2791 2447";"VISA";"1061";"szórakozás";"5382370028";"5893";"HUF";"True";"1522577226.0";"0"
"1427";"1784 3022 6447 6055";"AMEX";"1080";"utazás";"5382371086";"90792";"HUF";"True";"1522577258.0";"0"
"676";"7930 9894 1901 4715";"JCB";"1040";"elektronikai";"5382370335";"150432";"HUF";"True";"1522577276.0";"0"
"330";"8432 7712 5264 1024";"MASTERCARD";"1030";"egészség";"5382369989";"18350";"HUF";"True";"1522577301.0";"0"
"344";"2304 9925 6536 1839";"AMEX";"1070";"könyv";"5382370003";"6565";"HUF";"True";"1522577331.0";"0"
"995";"1144 0906 3718 9331";"AMEX";"1011";"étterem";"5382370654";"4587";"HUF";"True";"1522577350.0";"1"
"1271";"9597 2074 6716 1992";"MAESTRO";"1012";"étterem";"5382370930";"3301";"HUF";"True";"1522577364.0";"0"
"1217";"2064 1791 5443 9757";"MAESTRO";"1061";"szórakozás";"5382370876";"5466";"HUF";"True";"1522577370.0";"0"
"575";"0662 1632 6351 4585";"MAESTRO";"1032";"egészség";"5382370234";"9678";"HUF";"True";"1522577432.0";"0"
"370";"0142 0271 2791 2447";"VISA";"1031";"egészség";"5382370029";"34659";"HUF";"True";"1522577526.0";"1"
"1428";"1784 3022 6447 6055";"AMEX";"1042";"elektronikai";"5382371087";"97696";"HUF";"True";"1522577558.0";"1"
"677";"7930 9894 1901 4715";"JCB";"1002";"élelmiszer";"5382370336";"18090";"HUF";"True";"1522577576.0";"0"
"331";"8432 7712 5264 1024";"MASTERCARD";"1012";"étterem";"5382369990";"3993";"HUF";"True";"1522577601.0";"0"
"996";"1144 0906 3718 9331";"AMEX";"1011";"étterem";"5382370655";"6965";"HUF";"True";"1522577650.0";"0"
"1272";"9597 2074 6716 1992";"MAESTRO";"1012";"étterem";"5382370931";"5234";"HUF";"True";"1522577664.0";"0"
"1218";"2064 1791 5443 9757";"MAESTRO";"1042";"elektronikai";"5382370877";"157645";"HUF";"True";"1522577670.0";"0"
"1598";"8846 9687 7438 9471";"MAESTRO";"1050";"üzemanyag";"5382371257";"12999";"HUF";"True";"1522577677.0";"0"
"1734";"7933 1342 3883 2823";"VISA";"1050";"üzemanyag";"5382371393";"5316";"HUF";"True";"1522577763.0";"0"
"777";"4782 5737 5906 2475";"JCB";"1010";"étterem";"5382370436";"2422";"HUF";"True";"1522577802.0";"0"
"371";"0142 0271 2791 2447";"VISA";"1002";"élelmiszer";"5382370030";"26025";"HUF";"True";"1522577826.0";"0"
"1429";"1784 3022 6447 6055";"AMEX";"1040";"elektronikai";"5382371088";"59510";"HUF";"True";"1522577858.0";"0"
"2386";"5105 5206 6557 6418";"JCB";"1020";"ruházat";"5382372045";"21026";"HUF";"True";"1522577868.0";"0"
"678";"7930 9894 1901 4715";"JCB";"1052";"üzemanyag";"5382370337";"14874";"HUF";"True";"1522577876.0";"0"
"332";"8432 7712 5264 1024";"MASTERCARD";"1072";"könyv";"5382369991";"2359";"HUF";"True";"1522577901.0";"0"
"997";"1144 0906 3718 9331";"AMEX";"1062";"szórakozás";"5382370656";"5625";"HUF";"True";"1522577950.0";"0"
