Account,Age,AvgMonthlySpending,BalanceAmount,CandidateTargetCreditIncrease,CreditLimit,CreditScore,CrmSegment,FamilyMembers,Gender,IncomeCategory,Name,NrOfCredCards,NrOfDebCards,PreviousDaySpending,ShortTermCredit,Tel,TransactionTrend
230010026,37,374159,766505,0,190000,NO,Pension,3,F,XL,Márton Levente,0,1,113070,Y,3680134207,Dec
230010027,31,260518,175411,0,420000,S,NoTrans,2,N,L,Sipos Fanni,1,3,270260,N,3680502927,IncInc
230010028,41,187076,129179,0,560000,XS,Pension,5,N,XXL,Szőke Kata,1,1,38258,Y,3680788777,Stab
230010029,43,333136,465473,0,1030000,S,Young,4,N,M,Pintér Dorka,1,2,127015,Y,3680799639,Inc
230010030,39,46038,30789,0,970000,NO,NoTrans,5,F,M,Halász Soma,1,1,252501,Y,3680397201,Inc
230010031,51,542852,643057,0,490000,S,NoTrans,1,F,M,Juhász Márk,0,1,221448,N,3680143498,Inact
230010032,75,449531,418532,0,1070000,NO,NoTrans,5,N,L,Király Borbála,0,2,133320,Y,3680881485,DecDec
230010033,43,856500,744568,0,400000,S,Pension,5,N,S,Balla Izabella,1,1,257312,N,3680574300,Inact
230010034,72,856361,560726,0,1130000,NO,NoTrans,4,F,S,Szilágyi Richárd,0,3,164368,N,3680710885,Stab
230010035,22,439112,344445,0,130000,XS,TransCredit,1,F,XS,Mezei Roland,1,1,179341,Y,3680184726,Inc
230010036,36,993238,584358,0,560000,NO,Pension,1,N,M,Pap Réka,1,2,76299,N,3680229323,IncInc
230010037,72,709825,502421,0,350000,XS,CreditAct,5,F,M,Halász Márk,1,1,287020,Y,3680261780,IncInc
230010038,20,92218,463918,0,330000,XS,NoTrans,3,F,XL,Simon Ferenc,1,2,237529,N,3680603238,Inc
230010039,67,158372,643010,0,460000,XS,Young,4,N,S,Soós Amanda,1,1,188175,Y,3680532472,Dec
230010040,70,285712,353420,0,430000,NO,NoTrans,2,F,XXL,Bálint Kristóf,0,1,156001,N,3680746319,Dec
230010041,43,999301,652515,0,160000,S,CreditAct,1,N,XXL,Deák Kira,0,1,286746,N,3680866964,Inc
230010042,61,816068,584596,0,640000,S,CreditAct,4,N,XXL,Kocsis Kata,1,3,60394,N,3680638286,DecDec
230010043,39,391194,449861,0,420000,NO,Young,3,F,L,Simon Martin,0,1,260893,Y,3680148922,Dec
230010044,67,209029,708234,0,470000,XS,Young,4,F,S,Fodor Gergő,1,2,254580,Y,3680109735,Inact
230010045,39,18861,291664,0,480000,XS,CreditAct,4,N,XS,Deák Abigél,0,2,200846,N,3680613072,Inc
230010046,70,227486,165817,0,480000,XS,CreditAct,5,F,XL,Pataki Ádám,1,2,55115,Y,3680664732,Dec
230010047,28,804745,421918,0,590000,XS,CreditAct,5,N,L,Bálint Vivien,0,3,183962,Y,3680294967,IncInc
230010048,66,182139,164307,0,1060000,XS,CreditAct,2,N,M,Boros Janka,0,1,254346,Y,3680253643,Dec
230010049,63,846645,568248,0,490000,XS,Pension,1,F,L,Szilágyi Áron,1,1,135985,N,3680787022,IncInc
230010050,43,426979,455874,0,620000,S,NoTrans,5,F,L,Orosz Botond,1,1,31028,Y,3680610586,Inact
230010051,49,983091,685574,0,650000,NO,Pension,4,N,XS,Barta Adél,1,2,246394,Y,3680883764,Dec
230010052,47,642782,682775,0,960000,NO,CreditAct,1,N,M,Fábián Bianka,0,2,235879,Y,3680443366,Dec
230010053,29,145882,307388,0,370000,XS,Young,4,N,L,Szőke Fanni,0,1,188155,Y,3680624093,DecDec
230010054,49,472515,421574,0,560000,NO,Young,3,F,XXL,Gál Attila,0,2,163488,Y,3680369551,Inact
230010055,33,647606,656485,0,800000,S,Young,4,F,XL,Orosz Róbert,1,3,139104,Y,3680323270,Inc
230010056,46,365283,768275,0,510000,S,CreditAct,1,N,M,Fülöp Tamara,0,1,279198,N,3680708120,Inc
230010057,42,632574,533604,0,1030000,S,Pension,2,N,XXL,Mészáros Szonja,1,1,92454,Y,3680214738,Inc
230010058,35,932056,645686,0,970000,XS,CreditAct,2,F,XS,Farkas Zsombor,1,1,168955,Y,3680611931,Dec
230010059,24,202796,569543,0,1000000,XS,Pension,4,F,M,Fodor Kristóf,0,3,309492,N,3680100079,Inact
230010060,42,850156,616582,0,930000,S,TransCredit,5,F,S,Illés Dániel,1,3,74030,N,3680823755,Dec
230010061,36,952332,537392,0,800000,XS,CreditAct,5,N,L,Kelemen Leila,0,3,72854,N,3680771754,Inc
230010062,42,291858,670043,0,400000,NO,Pension,4,F,S,Hajdu Ákos,1,3,185324,Y,3680234435,Dec
230010063,28,237775,306507,0,1090000,NO,Pension,5,N,XL,Szőke Maja,1,2,264964,Y,3680152480,IncInc
230010064,33,113613,637020,0,840000,XS,Young,4,N,L,Bakos Petra,1,2,235900,Y,3680399548,Inact
230010065,31,441607,387185,0,950000,S,NoTrans,3,N,L,Fábián Blanka,1,1,32199,N,3680186219,Stab
230010066,46,941625,485819,0,740000,S,NoTrans,1,F,M,Balázs Márk,1,1,24571,N,3680792470,DecDec
230010067,68,598811,441346,0,600000,XS,CreditAct,4,N,L,Bogdán Dorottya,0,1,76295,Y,3680135386,Inact
230010068,26,975475,681822,0,880000,XS,NoTrans,2,F,XL,Török Áron,1,1,121686,N,3680757324,IncInc
230010069,26,714315,430181,0,1080000,S,TransCredit,4,N,XXL,Pásztor Júlia,1,1,303718,Y,3680560258,Inact
230010070,71,868193,377771,0,260000,S,TransCredit,5,N,M,László Dorottya,1,3,178807,Y,3680501455,Stab
230010071,25,384081,443968,0,710000,S,TransCredit,1,F,XS,Varga Nimród,1,3,17826,Y,3680148893,DecDec
230010072,43,715874,626620,0,650000,XS,TransCredit,1,N,XS,Boros Lilla,0,1,291312,N,3680374293,IncInc
230010073,33,267328,552482,0,530000,S,TransCredit,2,N,XXL,Tamás Boglárka,1,3,67324,N,3680145268,Inc
230010074,64,182788,218015,0,550000,NO,CreditAct,2,N,S,Fekete Réka,0,3,100644,N,3680525654,Inact
230010075,72,511105,202387,0,860000,S,CreditAct,2,F,M,Bakos Levente,0,2,25654,N,3680699465,Inact
230010076,68,563250,564046,0,1170000,NO,Pension,1,N,L,Nemes Amanda,0,1,132907,Y,3680580598,IncInc
230010077,61,606944,657378,0,250000,XS,TransCredit,5,F,XL,Fazekas Gergely,0,2,26839,Y,3680374789,Dec
230010078,20,675861,434165,0,120000,XS,NoTrans,3,N,S,Szűcs Lilla,1,2,257339,N,3680236380,Stab
230010079,35,928443,577401,0,580000,NO,CreditAct,4,N,S,Szabó Leila,1,1,246594,N,3680206648,IncInc
230010080,23,456090,503088,0,760000,S,Young,3,F,L,Lakatos Erik,1,3,217934,Y,3680630618,Inc
230010081,45,332248,722717,0,790000,NO,NoTrans,3,N,L,Barna Blanka,1,1,77311,N,3680398206,IncInc
230010082,43,863640,576867,0,210000,S,Young,1,F,L,Hegedűs Adrián,1,1,178661,N,3680823348,Inact
230010083,42,383649,600531,0,230000,NO,TransCredit,2,F,L,Hegedüs Mihály,0,2,311734,Y,3680501118,Inc
230010084,73,262112,537467,0,470000,S,TransCredit,3,N,M,Balla Emma,0,2,143546,N,3680332255,Inc
230010085,23,838448,434058,0,430000,XS,Young,5,F,XS,Juhász Dániel,0,3,112349,N,3680277921,Inact
230010086,43,477677,750156,0,700000,XS,TransCredit,2,F,XXL,Hegedüs Attila,0,3,20670,N,3680241646,Dec
230010087,20,287787,730969,0,720000,NO,NoTrans,2,F,M,Horváth Tamás,1,3,251240,N,3680119856,Inact
230010088,20,395003,767375,0,610000,NO,Young,3,N,L,Fülöp Liza,1,2,37159,N,3680863107,Stab
230010089,32,272684,694870,0,200000,XS,NoTrans,5,F,XL,Nemes Adrián,0,3,231742,N,3680631396,IncInc
230010090,55,484817,671580,0,200000,NO,CreditAct,5,F,XXL,Barna Ákos,0,3,41033,Y,3680846006,Inc
230010091,33,877747,683550,0,890000,S,NoTrans,1,F,L,Fábián Tibor,0,1,106357,N,3680654034,DecDec
230010092,21,117586,307745,0,900000,S,TransCredit,1,F,M,Papp Tamás,1,1,301114,N,3680644697,Inact
230010093,77,685546,624205,0,230000,XS,NoTrans,2,N,XL,Székely Boglárka,1,2,314373,N,3680717392,Dec
230010094,42,975101,732624,0,510000,NO,Young,1,F,XXL,Major Milán,0,3,295392,N,3680678324,Stab
230010095,31,17267,187893,0,730000,NO,CreditAct,4,F,XS,Kocsis Gergely,1,2,28947,N,3680665660,IncInc
230010096,52,768614,469504,0,240000,XS,Young,5,N,S,Katona Anna,1,1,20018,Y,3680873317,DecDec
230010097,67,118761,256141,0,550000,XS,TransCredit,4,N,XXL,Kelemen Petra,1,3,253464,Y,3680377843,Dec
230010098,21,549869,716449,0,540000,XS,Pension,2,N,XXL,Veres Kata,0,2,221369,N,3680645796,Inact
230010099,18,436582,645580,0,170000,NO,Young,1,N,XL,Mezei Emese,1,3,277745,Y,3680751084,Inact
230010100,70,305204,761197,0,260000,S,Pension,5,N,S,Tamás Adél,0,2,57808,Y,3680396247,Inact
230010101,28,992515,719045,0,400000,XS,NoTrans,4,N,M,Vörös Liza,1,2,14886,Y,3680429184,DecDec
230010102,67,63766,660782,0,370000,S,NoTrans,1,N,XS,Orosz Blanka,1,3,262378,N,3680140398,Dec
230010103,47,773149,620844,0,120000,NO,NoTrans,2,F,XXL,Hegedűs Benedek,1,1,66214,Y,3680436073,Stab
230010104,76,397237,694020,0,1100000,NO,Young,1,N,XL,Sipos Lili,0,3,63312,Y,3680601129,Dec
230010105,49,548638,503028,0,320000,XS,TransCredit,4,F,XL,Vincze Csanád,0,1,39098,N,3680194305,Inc
230010106,67,422422,204413,0,1200000,S,CreditAct,1,N,XS,Oláh Lilla,0,1,145750,Y,3680141864,Dec
230010107,64,928786,713329,0,770000,XS,NoTrans,2,F,M,Papp Rikárdó,1,2,294116,N,3680760915,IncInc
230010108,23,382755,428614,0,1010000,NO,TransCredit,3,N,XL,Fábián Réka,0,3,104023,N,3680841225,DecDec
230010109,26,127259,699189,0,530000,S,CreditAct,3,F,XXL,Horváth Balázs,0,1,167183,N,3680715981,DecDec
230010110,61,363560,343236,0,100000,S,TransCredit,1,F,XS,Orsós Ármin,0,2,223061,N,3680728666,Inc
230010111,40,505762,271659,0,480000,S,CreditAct,3,N,S,Deák Vivien,0,2,147529,Y,3680321141,IncInc
230010112,45,354780,551215,0,550000,XS,Pension,1,F,XL,Barna Soma,1,3,271037,N,3680823782,DecDec
230010113,62,121081,293652,0,540000,NO,Pension,1,N,S,Vörös Virág,1,3,59505,Y,3680672912,Stab
230010114,69,489451,288118,0,260000,NO,Young,2,F,XL,Vörös Tamás,1,2,20591,N,3680813979,Dec
230010115,31,922814,643475,0,520000,XS,Young,1,N,XS,Barta Eszter,0,2,259696,N,3680460503,Inact
230010116,31,802901,678053,0,700000,NO,Young,2,F,S,Oláh Martin,1,1,46827,N,3680884683,IncInc
230010117,23,520391,365794,0,210000,XS,NoTrans,3,F,XS,Kovács Erik,0,2,27959,N,3680333011,Inc
230010118,54,465305,687245,0,750000,NO,Young,4,F,XL,Katona Patrik,0,2,109489,Y,3680795688,Stab
230010119,24,221120,306105,0,240000,NO,NoTrans,5,N,XXL,Nagy Flóra,1,1,57918,Y,3680348596,Inc
230010120,43,528009,570657,0,180000,NO,Pension,1,F,XL,Fazekas Mihály,0,3,104132,N,3680367927,Stab
230010121,48,851026,571381,0,1120000,S,TransCredit,4,N,L,Katona Kitti,0,1,286203,Y,3680758108,Dec
230010122,32,64054,696447,0,250000,NO,Pension,3,F,XS,Németh Soma,0,1,158084,N,3680340415,Stab
230010123,69,358099,486238,0,770000,NO,NoTrans,1,N,XXL,Bálint Luca,1,1,195989,N,3680453662,IncInc
230010124,47,440651,397007,0,440000,XS,Pension,3,F,XXL,Bognár Patrik,1,2,160113,Y,3680142060,Inact
230010125,28,931477,648429,0,1100000,XS,Pension,5,N,XL,Szücs Gréta,0,3,83569,Y,3680247401,Inact
230010126,59,651541,626704,0,260000,XS,CreditAct,5,F,XXL,Simon Olivér,1,3,35354,N,3680217788,Inc
230010127,54,578109,683745,0,820000,XS,CreditAct,5,F,S,Bálint Gábor,0,3,91540,Y,3680392200,Stab
230010128,76,149430,708090,0,380000,S,Pension,4,N,M,Mezei Liza,0,1,101639,N,3680589444,DecDec
230010129,74,291280,645386,0,760000,XS,Pension,5,F,M,Sándor Csaba,1,3,51304,N,3680278182,Inc
230010130,45,531495,277406,0,1130000,XS,Young,4,N,XS,Máté Kamilla,1,1,239142,N,3680874792,Dec
230010131,29,718306,460677,0,1090000,NO,Pension,5,F,M,Váradi Benedek,0,1,189427,N,3680512088,Inc
230010132,38,296808,196015,0,870000,NO,NoTrans,5,F,XS,Vörös Bálint,1,2,293809,Y,3680452309,Inc
230010133,52,959267,667030,0,420000,S,Pension,5,F,XL,Mezei István,0,1,184102,N,3680548781,Stab
230010134,24,1022771,752667,0,320000,XS,CreditAct,5,F,M,Szűcs Adrián,0,3,119387,N,3680580981,IncInc
230010135,21,280320,367081,0,1140000,NO,CreditAct,2,N,XL,Szalai Luca,0,1,263259,Y,3680620535,Dec
230010136,46,672645,648714,0,320000,NO,NoTrans,1,N,L,Vass Kata,1,3,193602,N,3680236381,DecDec
230010137,37,46633,256677,0,310000,XS,Young,3,N,L,Bálint Zoé,0,3,266263,N,3680372115,DecDec
230010138,73,897577,499141,0,400000,NO,Young,3,F,M,Barta Ferenc,0,3,135779,N,3680828024,IncInc
230010139,56,640440,638754,0,590000,NO,TransCredit,3,F,XL,Jónás Zoltán,1,3,301272,N,3680460112,Dec
230010140,22,413788,587761,0,250000,S,NoTrans,4,F,XXL,Balázs Gergely,0,1,319480,Y,3680127914,IncInc
230010141,61,541195,474256,0,420000,XS,NoTrans,3,F,XS,Mészáros Máté,1,3,300200,Y,3680646078,DecDec
230010142,65,690736,744873,0,940000,NO,Young,2,F,XL,Csonka Tibor,0,2,316011,N,3680289242,Dec
230010143,60,947889,710090,0,820000,NO,Pension,4,N,L,Fazekas Dorina,1,3,311808,Y,3680748663,IncInc
230010144,50,563703,496774,0,700000,S,Young,4,F,S,Szalai Mátyás,1,3,261563,Y,3680580105,IncInc
230010145,21,357343,509891,0,350000,XS,Young,1,F,XXL,Kovács Csaba,1,1,196784,Y,3680850392,DecDec
230010146,57,1021500,728867,0,280000,S,Young,1,F,M,Mészáros Csanád,0,2,147873,Y,3680105554,Inact
230010147,33,561570,548399,0,170000,XS,Pension,2,F,XL,Bogdán Kristóf,0,2,156473,N,3680480806,Inc
230010148,25,342374,414221,0,520000,NO,CreditAct,1,F,M,Kozma Ferenc,1,2,128535,Y,3680755795,Stab
230010149,50,766545,536455,0,820000,XS,NoTrans,1,F,XL,Lukács Nimród,0,1,184911,N,3680277682,Dec
230010150,38,1024169,767779,0,510000,XS,TransCredit,3,F,XL,Orsós István,0,2,219552,Y,3680623457,IncInc
230010151,34,86702,642910,0,630000,NO,CreditAct,1,N,S,Kis Abigél,0,1,103421,Y,3680105087,Dec
230010152,48,230079,521669,0,820000,S,TransCredit,2,N,XXL,Bognár Kinga,0,1,107041,N,3680674535,Dec
230010153,25,871016,699140,0,450000,S,TransCredit,5,F,XS,Gáspár Mátyás,1,3,97006,N,3680611898,Stab
230010154,62,699924,355377,0,950000,NO,Pension,5,F,XS,Bogdán Dániel,0,2,76464,Y,3680440027,Stab
230010155,55,86285,113618,0,170000,XS,Young,2,F,XS,Sipos Alex,1,1,15992,Y,3680516244,Stab
230010156,64,934926,714815,0,140000,S,CreditAct,1,N,XXL,Fábián Nikolett,1,3,102798,Y,3680174561,Inc
230010157,38,866414,542740,0,390000,NO,Pension,2,F,XS,Budai Mátyás,1,1,150559,Y,3680696628,Dec
230010158,41,637869,468082,0,690000,S,Young,1,F,XS,Balla Tibor,0,1,261825,N,3680314695,Stab
230010159,62,1020615,768262,0,330000,NO,Young,3,F,S,Szilágyi Márton,1,1,146392,N,3680203848,Dec
230010160,18,498953,656677,0,460000,S,Young,1,N,XXL,Dudás Adél,0,2,13001,Y,3680345662,Dec
230010161,46,94061,481097,0,330000,NO,NoTrans,3,F,S,Pásztor Zsombor,0,2,256025,N,3680779021,Inact
230010162,61,716072,597394,0,1190000,XS,CreditAct,1,N,XS,Nagy Kitti,1,2,117005,N,3680826931,Inc
230010163,35,651392,504649,0,110000,S,Young,1,F,XXL,Király Nimród,0,1,102999,N,3680838337,DecDec
230010164,47,726765,696486,0,690000,NO,CreditAct,5,F,XL,Orosz Erik,0,3,152483,Y,3680137274,Inc
230010165,27,826195,538113,0,450000,XS,Pension,5,N,XXL,Lengyel Abigél,1,1,117053,Y,3680362432,IncInc
230010166,61,967013,734301,0,540000,XS,CreditAct,3,F,L,Kovács Miklós,0,3,107401,Y,3680500237,IncInc
230010167,52,755068,649820,0,320000,XS,TransCredit,2,F,M,Balog György,1,3,201849,Y,3680115953,Stab
230010168,35,657604,701870,0,170000,S,Pension,2,N,XS,Orosz Leila,1,3,57074,Y,3680481523,DecDec
230010169,31,705968,461143,0,880000,XS,Young,2,F,M,Nagy Zalán,0,3,143717,Y,3680185355,IncInc
230010170,50,593004,674084,0,300000,S,Pension,1,N,XL,Borbély Fruzsina,0,1,263997,Y,3680213046,Stab
230010171,34,826774,485096,0,450000,NO,Young,1,F,L,Vincze Miklós,0,3,292230,Y,3680746199,Stab
230010172,61,210335,715109,0,950000,S,Pension,5,F,S,Faragó Viktor,0,3,289089,N,3680811973,DecDec
230010173,74,663026,433673,0,960000,XS,Pension,1,F,XL,Juhász Marcell,0,2,249739,Y,3680576528,Stab
230010174,77,494494,357589,0,810000,NO,CreditAct,4,F,L,Simon Zsolt,0,2,255654,N,3680842167,Inact
230010175,58,647771,409842,0,210000,S,CreditAct,1,F,L,Kelemen Kornél,0,2,256761,N,3680472739,Stab
230010176,45,521152,759121,0,170000,XS,CreditAct,4,F,L,Szűcs Noel,1,3,221935,N,3680356682,Stab
230010177,28,545637,310362,0,600000,NO,CreditAct,3,N,XL,Sipos Luca,1,1,89294,N,3680544772,DecDec
230010178,50,403939,224806,0,940000,XS,NoTrans,4,N,M,Balla Melissza,1,3,189568,Y,3680706170,Stab
230010179,32,628768,440680,0,460000,S,NoTrans,4,F,L,Varga Martin,0,2,229153,Y,3680341117,Inc
230010180,37,870156,568898,0,740000,XS,TransCredit,3,N,M,Barta Virág,0,2,276976,N,3680545946,Inact
230010181,20,262544,747790,0,200000,S,TransCredit,4,N,XS,Máté Viktória,1,1,42690,Y,3680414528,Dec
230010182,51,773676,656968,0,860000,XS,Pension,2,N,L,Juhász Adél,1,3,281817,Y,3680144907,Inact
230010183,18,528787,609578,0,320000,S,TransCredit,2,F,XXL,Sándor Ábel,0,1,265952,N,3680564884,Dec
230010184,69,753166,660884,0,100000,S,NoTrans,3,N,L,Fodor Lara,0,3,56965,Y,3680294000,Stab
230010185,55,927485,704565,0,860000,S,NoTrans,1,F,L,Katona Dániel,1,2,170458,N,3680656992,Inc
230010186,69,43929,617230,0,240000,XS,CreditAct,5,F,S,Deák Kevin,0,1,197528,Y,3680316905,Stab
230010187,45,17866,423215,0,600000,NO,Pension,3,N,L,Vass Nikolett,1,2,296679,Y,3680466244,Inact
230010188,76,431833,414234,0,350000,XS,TransCredit,5,F,XXL,Szilágyi Noel,0,3,227909,N,3680475816,Inact
230010189,33,750801,364132,0,600000,XS,CreditAct,1,N,S,Fábián Sára,1,2,26357,N,3680368089,DecDec
230010190,62,802043,652433,0,840000,NO,CreditAct,3,N,S,Mezei Zoé,1,2,113965,Y,3680415891,IncInc
230010191,18,521862,357981,0,800000,NO,CreditAct,2,F,XXL,Molnár Kende,0,2,105718,N,3680806718,Stab
230010192,77,100397,109666,0,840000,NO,Pension,5,N,S,Faragó Bianka,1,1,193739,N,3680587562,Inact
230010193,19,330280,470547,0,1000000,S,CreditAct,3,F,XS,Pap Gábor,1,2,136512,N,3680792443,Dec
230010194,64,791139,612320,0,370000,XS,Young,4,F,L,Szőke Ábel,0,3,191808,N,3680675921,Stab
230010195,34,957077,669781,0,430000,XS,Young,5,N,M,Virág Eszter,1,3,139998,N,3680350762,DecDec
230010196,53,763608,613653,0,680000,XS,Young,2,F,XXL,Kelemen Attila,1,1,287988,Y,3680489913,Inact
230010197,51,686839,518580,0,160000,S,NoTrans,4,N,XXL,Fábián Fruzsina,0,3,273743,N,3680408743,Dec
230010198,70,947331,713972,0,1140000,XS,Young,3,N,M,Török Abigél,0,3,171520,N,3680302789,Dec
230010199,24,644677,420337,0,350000,XS,CreditAct,3,F,L,Illés Kende,0,2,232727,N,3680770930,Inc
230010200,56,913878,584172,0,300000,XS,Young,4,F,XS,Váradi Zétény,0,2,223498,N,3680347253,IncInc
230010201,38,550714,538273,0,440000,NO,CreditAct,1,F,XXL,Szilágyi Marcell,1,3,104224,N,3680215878,Inc
230010202,32,330984,440660,0,1030000,NO,Pension,2,F,XL,Balogh Erik,1,1,38762,Y,3680745492,DecDec
230010203,43,823363,615768,0,260000,XS,Young,4,F,M,Pintér Mihály,1,1,156618,Y,3680283190,Dec
230010204,63,803053,634114,0,1000000,XS,Pension,2,F,XL,Hajdu Roland,0,2,218206,N,3680355625,Stab
230010205,35,68644,125729,0,1070000,NO,Pension,3,F,S,Rácz Ádám,1,1,194342,Y,3680225069,Dec
230010206,77,519895,755578,0,820000,XS,NoTrans,3,N,XS,Kelemen Tímea,1,1,174740,Y,3680639495,Inact
230010207,62,185212,226153,0,330000,NO,Pension,3,N,XS,Farkas Sára,1,3,295772,N,3680707500,Inact
230010208,64,66756,28043,0,820000,S,CreditAct,1,N,M,Takács Eszter,1,3,132588,N,3680810663,Inc
230010209,40,600618,734113,0,960000,NO,TransCredit,4,N,M,Simon Borbála,0,2,311968,N,3680834858,DecDec
230010210,51,107012,233820,0,770000,XS,TransCredit,3,F,XXL,Vass Márton,0,1,306292,Y,3680514342,Inc
230010211,30,347997,687840,0,1140000,XS,NoTrans,5,N,XL,Péter Emese,1,3,294567,N,3680870850,Inact
230010212,32,486623,727164,0,860000,NO,TransCredit,4,F,XS,Takács Gergely,0,1,241609,Y,3680105681,DecDec
230010213,69,555833,692809,0,1130000,S,Pension,1,F,M,Vörös Gergő,1,2,202951,Y,3680585036,DecDec
230010214,18,347239,285834,0,680000,NO,CreditAct,4,F,XL,Nemes Kristóf,0,2,54341,N,3680231463,Inc
230010215,69,867456,707335,0,1050000,S,CreditAct,3,N,S,Németh Nóra,0,2,62075,N,3680697064,DecDec
230010216,42,164544,369036,0,860000,S,NoTrans,2,N,XXL,Deák Zselyke,0,3,226279,N,3680850191,Stab
230010217,69,490505,700203,0,960000,XS,Pension,5,N,S,Szalai Veronika,1,3,284064,Y,3680766249,Stab
230010218,60,861944,573256,0,1190000,XS,NoTrans,5,N,XS,Rácz Viktória,1,1,111959,Y,3680284418,Inc
230010219,77,517793,505862,0,790000,XS,Pension,2,N,XS,Biró Liza,1,3,179322,Y,3680830549,IncInc
230010220,50,570612,459543,0,810000,NO,CreditAct,1,N,S,László Gréta,1,3,246344,N,3680134050,Dec
230010221,68,986018,755056,0,500000,XS,Pension,3,F,S,Orbán Rikárdó,0,3,234601,N,3680856617,DecDec
230010222,71,706529,399003,0,410000,XS,TransCredit,3,F,XS,Orosz Roland,0,3,239440,Y,3680606114,DecDec
230010223,55,121540,434439,0,760000,NO,TransCredit,4,F,L,Kiss Viktor,0,3,140415,Y,3680619217,Stab
230010224,45,371822,519505,0,1130000,NO,CreditAct,2,N,L,Mészáros Diána,0,3,51563,Y,3680812524,DecDec
230010225,50,906873,604312,0,730000,NO,Pension,3,N,S,Jakab Abigél,0,2,160036,Y,3680175031,Inc
230010226,64,987086,727150,0,390000,XS,Young,5,F,S,Csonka Dávid,1,3,92176,N,3680499802,Inc
230010227,50,652417,523172,0,1110000,XS,TransCredit,5,F,M,Pásztor Márk,0,1,203063,Y,3680235961,IncInc
230010228,21,305608,615930,0,350000,S,Pension,5,F,S,Vörös Adrián,1,3,34976,N,3680318505,Inc
230010229,71,462379,306619,0,670000,S,NoTrans,5,N,L,Biró Ramóna,1,3,209310,Y,3680391810,Stab
230010230,32,867671,636953,0,290000,XS,Young,2,N,L,Király Virág,0,3,122593,N,3680146296,Stab
230010231,40,450668,613739,0,420000,NO,TransCredit,4,N,M,Szabó Tamara,0,2,24969,N,3680441116,Inc
230010232,45,363866,758525,0,1160000,NO,Pension,5,F,XS,Hajdu Dániel,1,3,224210,Y,3680306329,Stab
230010233,40,722796,476841,0,480000,S,TransCredit,1,N,M,Gulyás Adél,1,2,230535,N,3680273528,IncInc
