Account,Age,AvgMonthlySpending,BalanceAmount,CandidateTargetCreditIncrease,CreditLimit,CreditScore,CrmSegment,FamilyMembers,Gender,IncomeCategory,Name,NrOfCredCards,NrOfDebCards,PreviousDaySpending,ShortTermCredit,Tel,TransactionTrend
230010476,42,490125,507842,0,820000,S,Pension,1,N,XXL,Kovács Luca,0,2,136503,N,3680613070,DecDec
230010477,77,668735,571329,0,400000,NO,NoTrans,5,N,S,Gál Nóra,1,3,123455,N,3680637067,Inc
230010478,50,213917,516849,0,1200000,NO,Young,5,N,XS,Bogdán Kincső,0,1,190602,Y,3680323296,Stab
230010479,40,878482,690287,0,540000,S,NoTrans,2,F,XXL,Lakatos Olivér,0,1,43430,Y,3680390119,Inc
230010480,43,70518,502199,0,1140000,S,TransCredit,3,F,XXL,Szűcs Márton,0,1,301366,Y,3680634390,Stab
230010481,70,206588,580729,0,360000,XS,TransCredit,3,N,XS,Gál Emma,0,1,102607,Y,3680388455,Dec
230010482,19,539183,721600,0,660000,XS,NoTrans,5,F,S,Antal Dominik,0,1,249936,Y,3680124890,Stab
230010483,21,532277,715422,0,490000,XS,Young,5,F,XS,Novák Nimród,1,3,142572,N,3680205109,Inc
230010484,50,272571,624273,0,750000,XS,NoTrans,1,F,L,Orbán Nimród,1,1,180616,N,3680240195,DecDec
230010485,30,367122,696068,0,350000,XS,NoTrans,2,N,L,Barta Vanessza,1,2,260177,N,3680396621,Stab
230010486,63,482327,437181,0,110000,NO,TransCredit,5,F,XS,Balázs Márton,0,1,225637,N,3680282952,Stab
230010487,56,868314,403762,0,690000,XS,NoTrans,3,F,XXL,Török Mátyás,1,3,305080,N,3680336941,Inc
230010488,71,939765,403553,0,480000,NO,Pension,2,N,XL,Péter Kinga,0,1,299197,Y,3680441668,Dec
230010489,46,523322,456861,0,900000,NO,Pension,1,N,S,Illés Júlia,0,2,216186,Y,3680387687,DecDec
230010490,70,833055,523960,0,1130000,XS,Pension,2,F,XXL,Sárközi Botond,1,3,262052,Y,3680624986,Stab
230010491,66,965856,590485,0,740000,NO,TransCredit,3,N,XXL,Farkas Nóra,0,2,202201,N,3680507431,Inact
230010492,71,355288,476556,0,570000,NO,TransCredit,1,F,S,Antal Benett,0,1,110539,Y,3680222793,IncInc
230010493,38,127875,196944,0,880000,S,NoTrans,2,N,M,Szekeres Léna,0,3,67916,Y,3680294348,DecDec
230010494,34,855999,397223,0,1130000,NO,CreditAct,3,F,M,Bakos Kornél,0,2,256036,Y,3680311683,DecDec
230010495,45,667916,436336,0,170000,XS,CreditAct,3,N,XS,Illés Hanna,0,2,79343,Y,3680347158,DecDec
230010496,37,1008361,737453,0,400000,XS,NoTrans,5,N,M,Deák Dorka,0,1,132138,N,3680732802,Inact
230010497,31,533122,368153,0,780000,S,Pension,4,F,S,Sándor Gergő,1,2,177585,N,3680310596,Inc
230010498,48,447018,346813,0,240000,XS,CreditAct,5,F,L,Balogh Alex,1,3,315627,N,3680531873,Inact
230010499,68,991015,371047,0,490000,NO,NoTrans,3,F,XL,Fülöp János,1,2,44741,N,3680305576,DecDec
230010500,62,845499,486631,0,1130000,NO,Young,1,F,XS,Márton Adrián,0,1,72356,N,3680883130,IncInc
230010501,52,834763,638956,0,760000,S,CreditAct,2,N,L,Papp Sára,1,1,95432,N,3680803205,IncInc
230010502,38,913931,485997,0,480000,NO,TransCredit,1,F,XXL,Lakatos Ferenc,1,1,257313,N,3680881582,Stab
230010503,77,670902,590750,0,890000,S,CreditAct,4,N,XXL,Budai Dorka,0,3,212625,N,3680567201,Inact
230010504,42,882863,659805,0,470000,S,NoTrans,5,N,M,Farkas Melissza,0,1,118154,N,3680750726,IncInc
230010505,42,955294,699748,0,290000,NO,CreditAct,3,N,XL,Balogh Rebeka,1,1,169193,Y,3680182084,Inc
230010506,28,776282,438786,0,180000,NO,NoTrans,3,F,XXL,Sipos Milán,0,2,162308,N,3680102948,Inact
230010507,25,504564,619564,0,110000,XS,Pension,2,N,XXL,Farkas Petra,1,2,29955,N,3680397459,DecDec
230010508,63,182015,465331,0,150000,S,CreditAct,1,N,S,Fehér Nóra,1,2,279653,N,3680591329,Inc
230010509,18,903781,642825,0,340000,NO,CreditAct,1,F,M,Hegedüs Nimród,0,2,194602,N,3680318755,Stab
230010510,38,960062,689038,0,810000,NO,Pension,5,N,XS,Jónás Tamara,1,1,99282,Y,3680579160,Inc
230010511,64,349092,448025,0,480000,NO,CreditAct,2,N,S,Dudás Noémi,0,2,83937,N,3680851663,Inact
230010512,56,795879,515598,0,450000,NO,NoTrans,1,F,XS,Gulyás Ármin,1,3,80115,N,3680655362,DecDec
230010513,41,275310,553234,0,120000,NO,TransCredit,5,F,L,Király Gergely,1,1,38056,N,3680403430,Dec
230010514,38,452919,552855,0,980000,NO,CreditAct,2,N,S,Biró Lili,0,3,137886,N,3680517737,IncInc
230010515,47,213948,333620,0,1080000,XS,Young,3,F,XXL,Vass Attila,0,1,52870,N,3680608096,Inc
230010516,73,596731,731842,0,960000,S,TransCredit,4,N,S,Fülöp Vanessza,0,2,191159,N,3680854952,IncInc
230010517,66,981351,521452,0,100000,XS,CreditAct,5,N,XXL,Fekete Viktória,1,2,287072,N,3680147651,Dec
230010518,42,239855,667712,0,760000,S,Young,3,N,XXL,Dudás Eszter,1,1,92119,N,3680334811,DecDec
230010519,29,225588,442231,0,650000,NO,CreditAct,2,F,L,Orsós Dominik,0,2,48932,Y,3680604825,DecDec
230010520,50,535113,608550,0,810000,XS,TransCredit,2,N,XL,Kelemen Dorina,1,2,171455,Y,3680370514,Inact
230010521,62,871598,671203,0,660000,XS,Young,3,F,S,Tamás Ádám,0,3,317817,Y,3680329476,IncInc
230010522,59,151911,666862,0,1160000,NO,Pension,4,F,L,Illés Áron,0,2,225946,Y,3680719667,Inact
230010523,20,545873,260971,0,800000,S,CreditAct,1,N,XXL,Novák Dorka,0,2,106647,Y,3680785353,Dec
230010524,47,905263,751814,0,1130000,XS,Pension,5,N,S,Fehér Lilien,1,1,50013,N,3680384051,Inact
230010525,73,176444,112883,0,250000,XS,Young,3,F,XXL,Balázs Imre,1,1,154427,N,3680789779,DecDec
230010526,32,154642,76946,0,360000,XS,Young,4,F,XL,Oláh Ferenc,0,3,38775,N,3680851125,Dec
230010527,65,242999,477813,0,280000,XS,Young,5,N,M,Jakab Kincső,1,3,303292,Y,3680130775,DecDec
230010528,37,243722,201909,0,200000,NO,Pension,2,F,M,Hajdu András,1,1,153343,Y,3680106688,Dec
230010529,62,996643,550780,0,1200000,S,CreditAct,1,F,S,Németh Gergő,0,3,116053,Y,3680341289,DecDec
230010530,56,630308,490930,0,670000,S,Young,2,N,XS,Boros Leila,1,1,121052,N,3680217456,DecDec
230010531,33,187361,760120,0,430000,XS,Pension,3,F,M,Pataki Attila,0,2,81822,N,3680801744,Stab
230010532,19,491585,625801,0,1060000,NO,Young,4,F,XS,Kerekes Vince,0,2,271503,N,3680393197,Inact
230010533,75,155469,709438,0,570000,XS,CreditAct,5,F,S,Vörös Péter,1,2,212844,N,3680740753,Dec
230010534,34,1022194,645541,0,340000,NO,NoTrans,2,F,XXL,Fülöp Erik,1,3,171263,N,3680618967,Inc
230010535,66,210612,554592,0,430000,XS,CreditAct,3,F,L,Péter Soma,0,2,192950,Y,3680322677,Dec
230010536,37,968001,611557,0,500000,NO,Young,1,F,XS,Fodor Olivér,0,3,162349,N,3680701106,Inc
230010537,38,377373,269022,0,370000,S,CreditAct,3,F,XXL,Bogdán Csanád,0,3,108854,N,3680814053,IncInc
230010538,58,739463,576372,0,190000,S,Pension,5,F,L,Lengyel György,1,1,127759,Y,3680353539,Stab
230010539,69,836484,676632,0,230000,NO,Young,5,F,XXL,Katona Gergely,0,2,261032,Y,3680415234,Inc
230010540,44,388761,158256,0,1150000,XS,Pension,3,N,L,Szabó Boglárka,1,3,57381,N,3680359196,Dec
230010541,75,994375,551421,0,1030000,NO,Pension,5,N,L,Szalai Emese,0,2,48499,Y,3680667022,Stab
230010542,37,971811,560364,0,510000,XS,NoTrans,1,N,M,Tamás Lili,0,3,134435,Y,3680338874,Dec
230010543,48,270888,556260,0,840000,NO,Pension,3,F,XXL,Fábián Patrik,1,3,307151,N,3680831230,Dec
230010544,65,961609,561675,0,550000,NO,TransCredit,2,F,XXL,Pap Milán,1,3,188499,N,3680887715,Stab
230010545,66,318494,551559,0,260000,NO,Young,3,F,M,Pataki Alex,1,2,254270,N,3680166708,Inc
230010546,72,63494,179145,0,770000,XS,CreditAct,2,F,XS,Fehér Roland,0,1,190727,Y,3680339714,Inc
230010547,56,340436,433499,0,160000,XS,Young,5,F,XS,Hegedűs Roland,1,2,64908,N,3680605650,IncInc
230010548,45,550248,433209,0,1090000,S,TransCredit,1,N,XS,Márton Veronika,1,2,91550,Y,3680304160,DecDec
230010549,52,489716,577374,0,440000,NO,TransCredit,4,N,XS,Pásztor Jázmin,0,2,189516,Y,3680462338,Stab
230010550,24,849909,555794,0,460000,XS,Young,2,F,XS,Molnár Erik,1,2,305275,N,3680689771,Dec
230010551,25,136464,745355,0,200000,XS,NoTrans,3,F,XL,Fábián Gyula,1,1,84953,N,3680263319,DecDec
230010552,35,729540,593461,0,950000,S,Pension,4,F,XS,Juhász Attila,0,3,133737,Y,3680805673,Inc
230010553,42,51208,512828,0,540000,NO,NoTrans,5,N,L,Hajdu Luca,1,1,161243,Y,3680816420,Stab
230010554,34,805002,736755,0,820000,XS,Young,3,N,M,Bálint Kira,1,3,49471,Y,3680699593,Stab
230010555,63,548892,681791,0,150000,XS,Pension,4,F,S,Orsós Attila,0,3,95309,N,3680568267,Stab
230010556,32,954761,581292,0,650000,S,NoTrans,1,N,XXL,Kovács Dorka,1,3,256680,N,3680205932,IncInc
230010557,35,615146,724455,0,890000,NO,TransCredit,3,N,XS,Kovács Kamilla,0,2,178930,Y,3680880164,IncInc
230010558,71,184123,117746,0,110000,S,Young,1,N,M,Balogh Lilien,0,1,300024,Y,3680463737,Stab
230010559,25,638440,701943,0,780000,XS,Young,1,N,S,Vass Boglárka,0,1,311966,Y,3680407006,DecDec
230010560,53,963395,730974,0,250000,NO,Pension,4,F,XL,Orosz Norbert,1,3,33866,Y,3680769301,Stab
230010561,22,751468,295842,0,660000,XS,CreditAct,2,N,S,Fehér Kamilla,1,3,118635,N,3680542996,Stab
230010562,56,368280,242084,0,1060000,XS,NoTrans,1,N,S,Tamás Natália,1,2,47829,N,3680496888,DecDec
230010563,53,804567,666282,0,930000,XS,CreditAct,1,N,M,Sándor Júlia,0,2,40946,N,3680392840,Stab
230010564,48,610029,369869,0,1020000,XS,CreditAct,4,F,M,Gál Tamás,1,2,191673,N,3680617744,Inc
230010565,77,1015084,526079,0,1100000,NO,CreditAct,4,N,L,Hegedüs Zoé,1,3,137691,Y,3680513433,Stab
230010566,44,902677,585135,0,510000,S,NoTrans,3,N,S,Török Adél,0,2,235289,N,3680794183,IncInc
230010567,34,591393,552973,0,780000,XS,CreditAct,2,N,XL,Gulyás Emília,1,1,102546,Y,3680526247,DecDec
230010568,36,694209,619454,0,300000,S,Pension,3,F,S,Pintér Csaba,0,2,91575,N,3680383527,Dec
230010569,37,52532,214820,0,400000,NO,NoTrans,1,F,L,Sándor József,1,1,186140,N,3680276388,Inact
230010570,49,281707,620552,0,990000,XS,TransCredit,1,F,M,Szűcs Tamás,1,1,257228,Y,3680850681,Inact
230010571,38,70183,377636,0,860000,S,Pension,2,F,M,Bakos Rikárdó,0,2,127496,N,3680559053,DecDec
230010572,18,53456,465333,0,420000,S,CreditAct,2,N,S,Kovács Dorina,0,2,293709,Y,3680297966,IncInc
230010573,72,695816,330064,0,680000,S,Young,5,N,M,Bakos Flóra,1,2,81132,N,3680100194,Stab
230010574,59,353517,639904,0,900000,XS,Young,1,N,XXL,Jónás Kamilla,0,2,86143,N,3680543134,Inact
230010575,29,784285,401401,0,910000,XS,Pension,5,N,XS,Biró Léna,0,1,76654,Y,3680274791,DecDec
230010576,46,561072,358133,0,130000,XS,Pension,4,F,XS,Lukács Nándor,1,3,154973,Y,3680179224,Inact
230010577,34,721644,513392,0,1170000,XS,NoTrans,3,F,XS,Pataki Kristóf,1,3,319536,N,3680673842,Inc
230010578,67,238775,741342,0,150000,XS,Pension,4,F,S,Szűcs Benett,0,3,260307,N,3680457160,IncInc
230010579,28,997328,535050,0,140000,NO,CreditAct,1,N,S,Vincze Abigél,0,3,52013,Y,3680402749,Dec
230010580,63,131412,554819,0,1130000,S,Young,3,F,M,Szilágyi Dávid,0,3,287649,N,3680863465,IncInc
230010581,34,759035,592689,0,490000,XS,TransCredit,2,F,L,Oláh Norbert,1,3,248808,N,3680145682,DecDec
230010582,48,823770,762215,0,880000,XS,Pension,5,F,L,Lukács Kristóf,1,3,295482,N,3680498656,DecDec
230010583,60,583638,639745,0,590000,S,CreditAct,5,N,XL,Sárközi Réka,1,2,167775,Y,3680269855,DecDec
230010584,73,15782,286794,0,220000,NO,CreditAct,4,N,XXL,Kiss Panna,0,2,308467,N,3680496476,DecDec
230010585,29,287823,731507,0,1200000,S,CreditAct,5,N,M,Dudás Nikolett,1,1,31399,N,3680838359,Dec
230010586,67,18460,210113,0,850000,S,CreditAct,1,F,S,Balázs Patrik,1,2,16278,N,3680324153,DecDec
230010587,56,135861,424427,0,370000,XS,Pension,4,N,L,Orsós Leila,1,1,75862,Y,3680381534,Stab
230010588,76,346142,513635,0,650000,S,TransCredit,4,N,S,Lengyel Fanni,0,3,32603,N,3680489976,Inact
230010589,28,396892,254150,0,760000,NO,CreditAct,4,F,L,Sipos Csaba,0,2,138777,N,3680475488,Inc
230010590,39,319554,391548,0,1090000,NO,Pension,5,F,XXL,Molnár Roland,0,1,51092,Y,3680741311,Inc
230010591,57,795043,595998,0,710000,S,NoTrans,4,N,XS,Katona Eszter,0,1,315102,Y,3680693491,Stab
230010592,30,540852,583810,0,930000,NO,TransCredit,3,N,XL,Szűcs Dorka,0,3,247451,Y,3680271221,Dec
230010593,43,415422,386445,0,1190000,NO,Young,4,F,XXL,Varga Gergő,1,1,240255,Y,3680321597,Inact
230010594,34,55402,719862,0,450000,NO,TransCredit,4,F,XS,Barta Máté,1,1,243252,N,3680128842,Inact
230010595,43,337458,637187,0,840000,XS,Young,2,N,S,Szőke Kinga,1,3,211814,Y,3680718552,Inc
230010596,72,802842,476744,0,270000,S,NoTrans,2,N,XS,Balogh Jázmin,0,3,292853,N,3680771726,IncInc
230010597,66,697590,756964,0,930000,S,CreditAct,4,N,XS,Fábián Maja,1,2,146322,Y,3680294558,Inact
230010598,31,287747,639155,0,620000,NO,NoTrans,3,N,L,Székely Tamara,0,1,206941,N,3680437734,Inact
230010599,62,373089,550562,0,170000,S,TransCredit,3,F,L,Kozma Richárd,0,2,40304,Y,3680660881,Inc
230010600,46,541227,578861,0,230000,NO,NoTrans,3,F,XXL,Bálint János,0,3,82541,Y,3680594745,Inc
230010601,51,461344,639332,0,370000,NO,Young,5,F,XL,Borbély Alex,1,2,308789,N,3680354123,Stab
230010602,63,432774,525676,0,450000,S,CreditAct,3,F,L,Lukács László,1,1,275687,N,3680403012,Dec
230010603,44,964948,632694,0,400000,S,Young,4,F,XS,Pataki Mihály,1,1,102292,Y,3680782682,Inact
230010604,72,939953,768084,0,590000,XS,Young,5,F,M,Király Vilmos,0,3,290192,Y,3680606114,Inc
230010605,37,473154,559356,0,220000,S,Pension,4,N,XL,Molnár Kira,1,1,254732,N,3680788422,Inc
230010606,71,436820,316510,0,1080000,XS,Young,1,N,M,Király Lili,1,3,32011,Y,3680442868,Stab
230010607,56,267252,716399,0,350000,NO,CreditAct,5,N,XS,Bodnár Boglárka,1,2,136009,Y,3680755961,IncInc
230010608,23,415420,636224,0,910000,XS,NoTrans,4,F,L,Halász Róbert,1,1,184528,Y,3680363248,Inact
230010609,19,701642,765890,0,530000,NO,NoTrans,4,F,S,Vincze Levente,1,2,70762,N,3680700640,Dec
230010610,18,850232,522806,0,1200000,S,CreditAct,4,F,XS,László Patrik,0,1,103118,N,3680412782,Stab
230010611,47,612867,579560,0,230000,XS,Pension,1,F,XL,Antal Gergely,1,1,237108,Y,3680416508,Dec
230010612,55,765692,699426,0,630000,NO,Young,3,N,XL,Tóth Fanni,0,2,18619,N,3680820563,IncInc
230010613,75,115252,110776,0,270000,NO,NoTrans,3,F,XXL,Takács Gergely,0,1,94755,N,3680234381,Stab
230010614,28,427340,296402,0,590000,NO,NoTrans,5,F,XS,Bakos Péter,1,2,261375,N,3680783767,Inact
230010615,20,114765,518784,0,840000,XS,TransCredit,1,N,XL,Lengyel Anna,1,1,117231,N,3680690198,Inc
230010616,51,829782,450160,0,770000,S,NoTrans,5,F,L,Bodnár Kristóf,1,1,23625,N,3680115710,Inc
230010617,29,227981,217283,0,430000,XS,CreditAct,4,F,XS,Virág József,0,1,260694,Y,3680384470,IncInc
230010618,31,299262,587669,0,1020000,XS,Young,2,F,XXL,Orosz Vilmos,1,1,24729,Y,3680182533,Dec
230010619,62,839086,651965,0,460000,S,Pension,1,N,XXL,Biró Léna,0,2,203845,Y,3680229044,IncInc
230010620,61,939877,556401,0,790000,XS,Young,2,N,M,Bodnár Emese,0,1,59871,Y,3680399160,IncInc
230010621,39,156832,404205,0,1170000,XS,CreditAct,1,F,XXL,Hegedűs Martin,1,2,98708,Y,3680776540,IncInc
230010622,37,729221,562743,0,480000,XS,Young,1,N,XS,Kelemen Csenge,0,1,205227,Y,3680613289,Inact
230010623,39,102013,192551,0,830000,S,NoTrans,5,F,XXL,Balázs Bence,1,3,293837,N,3680510028,Stab
230010624,75,64834,645847,0,1110000,S,CreditAct,5,N,M,Péter Janka,1,2,294558,Y,3680689967,DecDec
230010625,25,251511,682601,0,500000,S,Pension,4,N,L,Pintér Petra,0,2,279904,N,3680508797,Stab
230010626,67,512191,407370,0,760000,XS,Pension,3,N,S,Csonka Melissza,1,2,181285,N,3680220827,Stab
230010627,70,739120,411539,0,1010000,XS,Young,5,N,S,Kerekes Dóra,1,1,229592,Y,3680131945,DecDec
230010628,68,746738,693665,0,560000,S,Young,2,N,XL,Bogdán Vivien,1,2,161303,N,3680404337,Dec
230010629,30,43681,272351,0,950000,S,CreditAct,4,F,XS,Antal Marcell,1,1,314761,Y,3680708847,DecDec
230010630,47,513564,617228,0,1020000,XS,CreditAct,5,F,M,Kelemen Hunor,1,2,218058,N,3680710267,IncInc
230010631,38,135936,221490,0,1120000,NO,CreditAct,3,N,S,Rácz Emese,1,1,118699,Y,3680239232,Stab
230010632,27,165533,177284,0,1030000,XS,NoTrans,1,N,S,Boros Liza,1,2,226213,Y,3680104394,Stab
